study_hours,sleep_hours,social_hours,physical_activity,gpa,academic_pressure,gender,age,financial_stress,study_satisfaction,peer_competition,relationship_stress,sleep_problems,irritability
4.75,6.6,1.1,7.5,3.26,Low,Male,18.0,2.0,3.0,2,4,2,1
6.1,8.4,0.1,7.9,2.47,Low,Male,21.0,2.0,1.0,1,2,2,3
8.1,8.5,2.3,4.3,3.24,High,Female,31.0,4.0,3.0,1,1,5,1
4.85,6.7,0.7,6.3,3.62,High,Male,21.0,3.0,3.0,3,1,1,4
5.55,7.6,1.2,3.9,3.12,High,Female,25.0,2.0,3.0,3,1,1,3
2.75,9.5,3.4,2.0,2.58,Low,Female,21.0,4.0,2.0,2,2,3,1
8.8,9.4,1.9,0.5,3.03,High,Male,28.0,1.0,3.0,2,2,2,2
7.1,5.8,5.4,4.3,3.29,High,Male,28.0,3.0,2.0,2,2,1,5
4.0,7.7,4.2,6.5,2.61,Low,Male,25.0,4.0,4.0,5,3,1,2
9.65,8.6,1.4,4.8,3.48,High,Female,20.0,5.0,2.0,5,5,1,2
9.1,8.3,2.3,1.8,3.07,High,Male,23.0,1.0,4.0,2,3,4,5
3.75,6.3,1.5,9.2,2.81,Low,Male,19.0,1.0,3.0,5,3,2,2
9.75,9.0,1.5,1.5,3.49,High,Female,33.0,5.0,1.0,2,1,4,3
9.95,6.0,4.3,3.8,2.97,Moderate,Female,23.0,5.0,4.0,2,4,2,2
9.85,9.6,0.3,0.6,3.55,High,Male,22.0,1.0,1.0,1,3,1,4
3.55,7.1,5.8,2.3,2.6,Low,Female,19.0,3.0,2.0,1,3,3,4
5.15,5.8,3.3,4.3,3.09,High,Female,30.0,4.0,3.0,2,4,3,1
5.35,7.9,0.3,3.3,3.47,High,Male,21.0,5.0,3.0,4,5,1,5
4.7,8.5,2.2,0.9,3.18,High,Female,19.0,4.0,5.0,1,1,3,2
8.4,9.0,4.9,2.1,3.12,Moderate,Male,23.0,4.0,3.0,5,3,2,2
10.5,8.5,3.1,0.8,4.0,High,Female,23.0,5.0,1.0,3,1,3,3
10.25,6.9,0.6,5.6,3.33,High,Female,18.0,4.0,5.0,5,1,2,2
9.65,6.4,3.5,4.6,3.11,Moderate,Male,28.0,1.0,1.0,5,5,3,5
6.6,9.1,2.2,7.4,2.79,Low,Male,24.0,1.0,3.0,3,3,2,1
6.9,8.1,0.5,5.7,3.1,High,Female,33.0,2.0,1.0,3,4,2,4
6.15,7.7,3.8,5.1,2.39,Low,Female,20.0,3.0,2.0,2,2,3,5
10.0,7.2,0.5,6.2,3.39,High,Male,23.0,4.0,1.0,1,3,5,1
8.05,9.2,4.0,1.8,2.52,Low,Male,23.0,4.0,1.0,3,2,3,1
7.4,7.7,4.3,5.2,2.8,Low,Female,24.0,2.0,1.0,3,1,3,1
7.65,9.8,3.5,1.3,3.67,High,Male,25.0,3.0,1.0,2,4,2,1
5.05,6.8,4.5,4.6,3.27,Moderate,Female,24.0,5.0,3.0,2,2,2,5
7.55,5.2,0.2,13.0,2.85,High,Female,24.0,5.0,4.0,2,2,4,1
3.7,7.5,2.8,5.9,3.26,Moderate,Male,31.0,3.0,5.0,2,2,2,3
4.95,7.0,3.7,5.7,2.8,Low,Male,20.0,5.0,4.0,2,4,4,2
4.45,7.5,5.1,2.0,3.06,Moderate,Male,21.0,5.0,5.0,2,2,5,2
9.65,5.4,3.9,5.7,3.26,High,Male,25.0,4.0,3.0,1,1,4,2
10.35,6.9,3.3,1.8,3.38,High,Male,19.0,1.0,4.0,1,5,3,5
9.65,9.7,1.9,2.9,3.15,Moderate,Female,34.0,5.0,3.0,1,3,4,3
7.7,9.2,0.1,8.0,2.69,Low,Male,24.0,2.0,4.0,1,2,3,3
8.55,5.6,4.2,4.0,3.54,High,Male,33.0,1.0,3.0,2,2,3,3
6.85,6.4,1.0,4.7,3.37,High,Male,32.0,5.0,5.0,3,3,3,4
7.4,10.0,0.8,1.2,3.58,High,Male,18.0,4.0,4.0,2,1,3,1
6.85,9.3,1.8,2.5,2.89,Moderate,Female,31.0,1.0,4.0,5,3,4,3
8.9,5.5,5.4,1.3,3.58,High,Female,25.0,2.0,5.0,1,1,4,2
4.8,6.9,0.1,6.8,2.99,Moderate,Male,20.0,3.0,4.0,2,4,2,5
4.75,6.6,5.7,1.8,3.44,High,Male,31.0,1.0,1.0,2,3,4,4
7.1,6.5,2.0,5.5,3.35,High,Male,24.0,3.0,1.0,4,1,1,2
8.2,9.0,2.8,0.8,3.26,High,Male,24.0,4.0,2.0,3,2,4,5
2.65,7.2,5.3,4.0,2.62,Low,Female,23.0,3.0,2.0,3,3,1,5
6.9,5.7,4.6,6.4,2.86,High,Female,25.0,3.0,1.0,2,3,5,2
5.2,5.4,4.9,5.5,2.86,High,Male,25.0,5.0,3.0,2,4,2,3
7.75,5.4,5.9,3.9,2.99,High,Female,25.0,1.0,2.0,3,2,3,5
6.55,9.9,0.9,0.3,3.08,High,Female,28.0,5.0,1.0,3,2,2,1
9.45,8.9,3.4,4.5,3.21,Moderate,Female,20.0,5.0,4.0,3,4,3,3
5.8,5.1,2.8,8.5,2.81,High,Female,24.0,5.0,5.0,1,1,1,1
8.65,5.6,3.9,8.7,2.9,High,Male,23.0,3.0,4.0,4,2,2,1
5.4,6.4,5.2,1.1,3.78,High,Male,19.0,5.0,1.0,3,2,2,1
8.55,5.1,5.8,3.1,2.96,High,Female,24.0,4.0,3.0,3,3,3,1
3.2,9.8,3.1,3.5,2.81,Low,Female,34.0,2.0,5.0,2,1,1,2
8.05,7.3,3.6,2.2,3.39,High,Female,25.0,4.0,4.0,1,1,3,3
4.1,9.8,5.3,2.6,2.82,Low,Male,28.0,4.0,2.0,2,4,1,1
5.65,6.4,1.1,6.7,2.67,Moderate,Female,27.0,4.0,1.0,2,2,3,3
3.95,9.9,5.8,0.1,3.08,Moderate,Male,22.0,2.0,4.0,1,3,1,2
9.25,6.5,4.9,2.0,3.1,High,Male,27.0,4.0,1.0,2,1,5,5
8.3,9.7,1.0,0.4,3.54,High,Female,34.0,4.0,3.0,4,2,4,1
9.05,9.7,3.9,0.6,3.45,High,Male,22.0,3.0,4.0,1,1,4,1
10.45,8.0,2.1,3.4,3.39,High,Male,23.0,3.0,2.0,2,2,4,3
9.4,9.2,0.7,0.9,3.15,High,Male,24.0,1.0,1.0,3,4,1,3
7.15,9.1,6.0,0.1,2.68,Low,Male,21.0,3.0,1.0,2,1,2,3
10.5,8.8,2.8,0.2,3.41,High,Male,26.0,5.0,2.0,4,4,3,2
9.65,9.8,3.6,2.8,3.22,Moderate,Female,24.0,5.0,1.0,2,3,3,1
6.55,8.1,2.1,5.0,2.98,Moderate,Male,34.0,1.0,5.0,3,3,5,2
9.3,7.6,4.9,0.8,2.99,Moderate,Female,29.0,1.0,1.0,4,4,5,2
8.9,9.4,1.9,2.7,3.3,Moderate,Male,33.0,3.0,3.0,2,1,2,4
9.25,5.7,0.1,8.8,3.55,High,Male,21.0,3.0,3.0,1,1,3,1
9.4,7.0,2.6,5.2,2.97,Moderate,Female,33.0,1.0,5.0,2,3,4,5
6.8,7.0,3.7,2.6,3.28,Moderate,Male,28.0,5.0,2.0,1,1,5,1
8.65,5.7,4.8,0.4,3.05,High,Male,27.0,4.0,1.0,5,5,4,5
3.65,7.5,1.7,3.6,3.08,Moderate,Male,33.0,2.0,4.0,3,4,4,3
9.1,5.4,0.8,8.6,3.3,High,Female,18.0,5.0,5.0,4,2,3,2
8.95,9.5,2.8,4.4,2.7,Low,Female,20.0,3.0,4.0,5,5,1,2
10.15,6.0,0.2,8.8,3.14,High,Female,19.0,3.0,4.0,1,1,1,1
8.45,5.6,2.8,9.3,2.73,High,Male,21.0,3.0,1.0,1,1,2,1
9.0,7.5,4.1,4.9,2.76,Moderate,Male,32.0,4.0,1.0,3,4,2,3
8.2,5.3,1.6,4.0,3.45,High,Male,32.0,4.0,2.0,2,3,2,4
7.0,5.9,1.3,4.8,3.29,High,Male,33.0,1.0,1.0,2,3,1,4
9.55,7.3,4.5,2.6,2.75,High,Female,23.0,4.0,1.0,3,3,3,1
7.6,8.6,5.4,3.8,3.4,Low,Male,24.0,4.0,4.0,1,1,2,1
5.75,7.7,1.5,7.5,3.05,Low,Female,20.0,4.0,3.0,2,1,2,1
5.15,5.1,1.9,9.2,2.82,High,Female,24.0,3.0,2.0,2,2,3,5
6.8,8.0,4.1,2.7,2.62,Low,Male,22.0,1.0,1.0,4,2,5,3
9.95,5.4,3.2,4.5,3.64,High,Male,26.0,2.0,4.0,2,3,3,2
5.1,6.4,2.2,7.7,3.19,Moderate,Female,18.0,5.0,4.0,2,3,3,2
8.6,6.8,5.9,0.8,2.95,High,Male,26.0,5.0,3.0,2,3,2,4
7.25,6.2,1.0,10.7,2.94,Low,Male,33.0,3.0,1.0,3,1,1,3
7.95,5.9,5.4,5.7,2.89,High,Female,19.0,5.0,1.0,5,2,2,1
9.55,5.6,2.4,5.0,2.9,High,Male,26.0,1.0,3.0,5,5,1,5
6.4,9.1,0.4,1.2,3.57,High,Female,34.0,4.0,2.0,3,2,2,4
9.8,7.9,1.2,3.1,3.24,High,Female,22.0,5.0,4.0,2,2,3,1
7.9,6.6,2.6,5.3,2.99,High,Female,28.0,4.0,3.0,2,1,4,4
8.8,6.4,3.5,6.1,2.85,Low,Male,31.0,2.0,5.0,4,4,3,3
7.4,7.7,0.3,8.3,2.7,Low,Female,18.0,2.0,4.0,2,4,2,1
2.65,6.6,4.9,3.2,2.72,Low,Male,32.0,5.0,3.0,2,3,4,4
8.65,8.8,3.6,2.6,2.45,Moderate,Female,19.0,5.0,4.0,2,2,2,2
3.85,9.2,4.2,0.2,2.85,Moderate,Male,20.0,3.0,2.0,5,3,4,3
3.8,9.7,1.1,4.7,2.86,Low,Male,28.0,5.0,2.0,2,1,1,2
8.95,5.7,4.8,2.2,3.15,High,Male,19.0,4.0,4.0,3,1,1,3
4.5,5.8,4.9,6.6,2.96,High,Male,34.0,1.0,1.0,1,1,1,3
6.4,7.0,4.9,1.8,3.44,Moderate,Male,20.0,2.0,5.0,3,1,4,5
9.6,7.3,1.8,6.2,3.08,Moderate,Male,18.0,2.0,5.0,3,1,2,3
8.1,6.9,3.3,4.0,3.27,Moderate,Female,29.0,5.0,5.0,2,2,2,2
5.25,5.6,5.6,0.8,3.13,High,Male,24.0,1.0,4.0,2,2,1,1
3.35,8.1,3.2,3.8,3.08,Low,Male,33.0,5.0,3.0,1,3,3,1
9.75,5.8,1.7,3.8,3.59,High,Male,34.0,4.0,4.0,1,2,3,3
7.1,8.8,5.3,2.4,2.61,Low,Female,29.0,2.0,2.0,2,2,2,4
8.35,5.6,5.1,3.3,2.95,High,Male,27.0,2.0,2.0,2,1,3,1
9.0,6.1,4.3,4.0,3.15,High,Female,31.0,1.0,2.0,2,3,3,4
6.3,8.5,2.3,2.0,3.14,High,Male,30.0,1.0,3.0,2,3,2,3
6.95,7.9,2.4,4.2,2.64,Low,Female,31.0,2.0,2.0,1,2,2,5
9.65,5.8,3.5,3.6,3.58,High,Male,26.0,3.0,5.0,1,1,3,1
7.05,9.7,3.2,2.5,2.79,Low,Male,21.0,4.0,1.0,3,4,2,4
5.75,8.5,0.5,2.8,3.65,High,Female,34.0,1.0,3.0,2,1,5,3
9.05,9.7,4.0,0.3,3.33,Moderate,Male,24.0,1.0,2.0,3,4,2,3
8.15,9.9,5.0,1.3,3.11,Moderate,Male,21.0,3.0,2.0,1,1,2,3
8.5,5.3,2.0,7.1,3.42,High,Female,31.0,3.0,2.0,3,3,5,4
10.0,6.7,2.4,5.9,3.51,High,Male,20.0,5.0,4.0,3,2,3,5
9.35,8.7,2.7,4.5,3.02,Moderate,Male,34.0,1.0,3.0,1,4,2,5
5.05,5.7,1.1,9.3,2.38,High,Female,30.0,3.0,5.0,2,4,1,2
10.8,7.9,3.2,1.9,3.43,High,Male,30.0,4.0,5.0,1,3,2,1
8.05,5.9,5.8,4.5,2.71,High,Male,20.0,2.0,1.0,2,1,4,1
8.7,7.5,3.6,3.5,2.59,Low,Female,22.0,3.0,1.0,2,1,1,1
7.15,6.0,5.4,4.3,2.68,Low,Male,18.0,2.0,4.0,2,1,4,4
5.6,7.8,0.4,8.7,2.67,Low,Female,27.0,5.0,4.0,4,2,5,5
9.45,7.6,2.5,3.2,3.58,High,Male,26.0,2.0,3.0,2,3,5,4
5.4,9.3,5.7,2.5,2.46,Low,Male,24.0,3.0,5.0,3,4,3,4
4.45,8.2,2.5,5.3,3.22,Moderate,Female,28.0,5.0,4.0,1,1,1,3
2.55,6.2,4.0,7.8,3.02,Low,Female,24.0,4.0,2.0,2,3,5,5
4.55,9.0,1.1,8.4,2.52,Low,Female,32.0,4.0,3.0,2,3,3,1
8.25,8.6,5.1,3.8,2.97,Low,Female,21.0,4.0,1.0,4,3,4,4
10.6,8.3,1.0,3.9,3.5,High,Male,19.0,1.0,5.0,3,4,1,4
8.05,6.0,0.2,12.4,2.7,Low,Female,24.0,1.0,4.0,5,1,3,4
6.95,7.1,5.4,3.3,2.78,Low,Female,26.0,5.0,4.0,2,1,3,5
5.15,8.0,1.6,6.6,3.15,Moderate,Female,20.0,3.0,3.0,2,1,1,1
8.05,7.8,2.6,3.9,3.26,High,Male,19.0,3.0,5.0,1,1,4,4
7.9,9.3,2.6,2.7,3.3,High,Male,32.0,2.0,2.0,1,2,1,4
5.75,7.1,0.1,4.1,3.49,High,Female,23.0,3.0,2.0,4,3,2,4
9.1,5.7,5.0,4.1,2.89,High,Female,23.0,3.0,1.0,2,2,2,2
8.95,5.9,1.6,4.5,3.52,High,Male,29.0,5.0,2.0,2,3,5,4
7.2,8.3,5.0,2.1,2.76,Moderate,Female,29.0,2.0,4.0,3,5,4,2
5.0,5.7,5.4,6.9,2.95,High,Female,27.0,4.0,2.0,1,2,4,2
8.5,5.9,5.5,1.9,3.4,High,Female,33.0,1.0,4.0,4,3,2,5
7.55,7.6,0.3,7.5,3.17,Moderate,Female,33.0,2.0,1.0,1,1,1,1
8.7,6.2,2.3,7.7,2.66,Low,Male,31.0,2.0,5.0,3,3,3,3
8.2,8.6,1.8,5.8,2.77,Moderate,Male,25.0,5.0,4.0,2,4,4,5
7.15,8.7,0.7,2.6,3.77,High,Female,29.0,4.0,5.0,1,1,4,1
8.1,8.0,0.3,9.5,3.29,Low,Female,18.0,4.0,4.0,3,4,4,4
6.85,5.5,0.5,8.2,2.99,High,Female,18.0,4.0,5.0,2,3,2,4
9.8,8.4,2.2,2.8,3.43,High,Male,22.0,4.0,3.0,3,2,1,1
7.0,6.4,3.4,2.4,3.24,High,Male,24.0,4.0,1.0,2,2,3,1
8.9,9.6,0.8,6.4,3.01,Moderate,Male,24.0,5.0,5.0,1,1,3,2
8.45,9.4,4.4,2.1,3.01,Low,Male,30.0,2.0,5.0,2,3,1,2
8.0,8.5,3.3,0.6,3.34,High,Male,33.0,1.0,5.0,3,5,4,5
7.05,9.7,0.2,4.0,2.58,Moderate,Male,34.0,3.0,3.0,3,2,3,2
7.75,5.9,3.4,2.5,3.06,High,Male,32.0,1.0,1.0,2,4,4,5
10.3,9.7,0.4,0.4,3.65,High,Male,33.0,4.0,3.0,3,3,4,5
8.15,6.6,3.9,0.8,3.41,High,Female,20.0,5.0,2.0,4,2,3,3
8.1,5.4,4.2,7.7,2.84,High,Female,25.0,5.0,1.0,4,3,2,4
7.35,5.3,1.9,7.2,3.29,High,Male,24.0,4.0,2.0,1,2,1,1
6.8,9.4,3.4,2.1,3.03,Moderate,Male,23.0,2.0,2.0,3,3,4,5
9.1,9.4,0.1,8.2,2.95,Moderate,Female,30.0,1.0,3.0,3,5,1,3
8.35,10.0,0.4,0.7,3.67,High,Female,39.0,2.0,4.0,4,2,4,1
8.9,7.4,3.8,2.4,3.23,High,Male,22.0,5.0,5.0,3,1,5,5
6.55,6.2,0.7,7.0,3.36,Moderate,Male,23.0,3.0,1.0,2,2,2,3
4.4,6.5,1.4,8.2,3.01,Moderate,Male,31.0,3.0,1.0,2,2,1,3
8.45,6.1,5.7,2.6,3.08,Moderate,Male,20.0,1.0,1.0,2,3,4,2
9.45,7.1,5.3,2.3,3.33,High,Male,20.0,5.0,2.0,1,1,3,3
6.05,10.0,1.2,4.0,3.35,High,Male,32.0,4.0,1.0,2,3,1,2
8.85,8.0,1.9,1.8,3.33,High,Female,22.0,4.0,2.0,1,2,2,3
6.55,8.9,2.1,6.2,2.81,Moderate,Female,27.0,1.0,1.0,3,2,2,3
5.15,9.4,5.0,0.4,3.08,Low,Female,18.0,4.0,5.0,2,2,4,2
5.25,9.1,1.3,4.5,3.16,High,Female,28.0,1.0,2.0,2,3,2,4
5.05,8.0,3.5,4.3,2.79,Moderate,Female,22.0,5.0,1.0,1,2,1,4
9.2,9.3,1.2,0.3,3.33,High,Female,20.0,3.0,1.0,3,3,3,3
10.15,5.4,2.5,5.6,2.97,High,Male,20.0,5.0,2.0,1,2,1,2
7.8,5.4,1.3,6.7,3.14,High,Male,30.0,2.0,3.0,3,2,1,3
7.2,9.3,3.0,3.0,3.77,High,Male,18.0,4.0,5.0,3,1,4,1
9.55,8.4,2.9,2.2,3.26,High,Female,26.0,1.0,3.0,2,5,4,4
9.15,9.0,3.4,1.8,3.11,Moderate,Male,34.0,1.0,3.0,3,1,3,4
10.25,8.1,3.5,1.2,3.38,High,Male,20.0,3.0,5.0,5,4,2,2
3.9,9.4,0.2,5.1,2.84,Low,Male,20.0,1.0,3.0,2,3,1,4
6.35,5.8,4.9,3.6,3.03,High,Female,33.0,3.0,4.0,2,1,1,2
8.6,5.0,1.7,6.1,3.42,High,Female,20.0,5.0,2.0,3,2,3,4
6.1,8.2,3.2,3.4,3.24,High,Female,28.0,4.0,5.0,3,5,4,5
4.45,8.8,3.2,2.7,3.32,High,Female,26.0,5.0,1.0,1,3,3,1
8.6,5.5,5.6,1.0,3.29,High,Male,25.0,5.0,3.0,3,2,3,3
5.2,6.5,4.2,4.6,3.29,High,Female,28.0,2.0,2.0,3,3,1,1
5.35,5.2,5.2,4.4,2.86,High,Female,29.0,5.0,3.0,2,3,3,1
10.95,8.7,0.2,1.3,3.8,High,Male,34.0,3.0,4.0,2,1,2,1
4.2,6.4,6.0,1.4,3.25,High,Female,29.0,2.0,3.0,1,3,4,2
6.05,5.8,4.8,4.5,2.86,High,Female,28.0,2.0,3.0,2,3,4,2
4.7,8.3,1.6,6.0,2.95,Low,Female,33.0,5.0,5.0,4,3,2,4
6.9,7.2,5.7,0.7,3.84,High,Male,18.0,2.0,1.0,2,2,1,3
8.5,9.9,2.5,3.5,2.84,Moderate,Male,19.0,4.0,1.0,4,3,3,4
9.75,6.1,0.2,7.3,3.17,High,Female,27.0,1.0,1.0,1,2,1,2
10.65,9.8,0.6,2.4,3.68,High,Female,29.0,1.0,3.0,1,1,3,2
9.15,8.9,2.3,0.4,3.52,High,Female,18.0,2.0,5.0,1,1,3,4
8.85,9.6,3.7,4.9,3.12,Low,Male,27.0,5.0,5.0,1,1,3,1
7.0,5.6,0.8,6.7,3.21,High,Male,34.0,1.0,5.0,5,3,2,2
5.5,5.3,3.5,7.2,3.26,High,Female,19.0,5.0,4.0,3,3,1,1
3.65,6.6,2.7,5.2,2.85,Moderate,Female,30.0,1.0,3.0,3,3,2,4
4.5,8.5,5.2,1.1,2.72,Moderate,Female,25.0,2.0,4.0,5,3,4,3
7.95,7.4,0.6,6.9,3.33,High,Female,20.0,1.0,3.0,3,4,2,5
7.05,7.8,0.1,5.2,2.98,High,Female,20.0,5.0,2.0,4,2,4,4
8.3,5.4,2.1,7.8,2.79,High,Female,20.0,4.0,1.0,1,3,2,5
3.9,9.0,0.9,3.5,3.11,Moderate,Female,29.0,2.0,4.0,3,2,2,1
6.4,8.2,4.2,5.4,2.88,Low,Male,24.0,1.0,2.0,2,2,2,3
7.25,8.6,2.7,0.7,3.15,High,Male,34.0,3.0,2.0,2,2,2,1
4.35,5.4,5.4,3.2,3.27,High,Male,31.0,1.0,3.0,3,1,2,4
4.15,7.6,4.4,2.1,3.13,Moderate,Male,23.0,4.0,4.0,3,3,2,1
8.2,6.2,1.0,11.2,2.75,Low,Female,25.0,2.0,1.0,4,3,3,2
8.95,5.9,4.7,2.2,3.57,High,Female,24.0,5.0,2.0,4,3,5,3
8.15,7.8,4.2,1.7,3.25,High,Female,25.0,1.0,2.0,1,1,3,1
6.5,5.4,0.2,9.7,2.92,High,Male,23.0,1.0,1.0,1,1,2,3
8.15,9.3,4.4,2.1,2.85,Moderate,Male,21.0,1.0,4.0,3,1,4,5
6.35,9.9,0.2,5.7,3.32,Moderate,Male,22.0,1.0,3.0,1,4,2,2
4.65,7.2,3.8,1.4,3.61,High,Male,33.0,2.0,4.0,2,4,1,1
7.25,6.4,3.6,2.8,3.42,High,Male,24.0,1.0,2.0,3,4,1,1
5.8,8.1,3.5,2.0,3.31,High,Female,25.0,1.0,3.0,2,2,4,4
6.3,5.9,1.4,4.5,3.37,High,Male,33.0,1.0,3.0,5,2,4,2
10.95,9.3,2.0,2.1,3.59,High,Male,27.0,1.0,1.0,4,4,5,2
9.6,6.8,3.6,4.3,3.01,Moderate,Female,31.0,2.0,3.0,5,1,2,2
6.4,9.8,1.5,5.3,2.61,Low,Female,19.0,5.0,5.0,3,4,2,5
9.95,9.8,2.2,2.6,3.57,High,Male,29.0,4.0,3.0,3,1,1,1
7.6,5.8,3.1,8.6,3.13,High,Male,23.0,5.0,1.0,3,1,2,1
3.6,8.1,4.2,3.5,2.98,Moderate,Male,25.0,2.0,4.0,1,1,2,3
4.9,5.2,4.4,7.9,2.81,High,Male,34.0,5.0,2.0,2,3,3,1
10.6,7.9,3.2,0.5,3.8,High,Male,18.0,5.0,1.0,2,5,2,2
6.0,6.3,0.3,11.0,3.05,Moderate,Male,29.0,3.0,4.0,2,5,2,3
8.1,7.3,5.6,5.4,2.79,Low,Female,25.0,4.0,1.0,2,2,3,3
8.3,5.2,0.9,9.3,3.17,High,Male,29.0,1.0,4.0,2,3,3,3
9.15,7.4,4.0,3.2,3.16,Moderate,Male,28.0,2.0,5.0,2,3,4,3
4.35,6.5,4.2,7.5,2.98,Low,Female,31.0,1.0,3.0,2,4,2,2
7.4,8.4,2.4,3.0,3.26,High,Male,30.0,3.0,3.0,5,5,4,3
10.15,8.5,4.6,0.9,3.43,High,Male,24.0,5.0,4.0,1,1,5,1
7.25,9.3,2.7,2.0,3.2,Moderate,Male,26.0,4.0,4.0,3,2,5,1
7.6,8.4,4.1,2.6,2.91,Low,Female,29.0,2.0,2.0,3,1,1,4
8.5,5.5,3.9,5.0,2.82,High,Male,22.0,1.0,4.0,3,3,5,1
10.0,9.9,1.6,2.3,3.56,High,Female,31.0,2.0,5.0,2,1,2,4
5.9,9.4,1.5,2.3,3.25,Moderate,Female,29.0,1.0,4.0,3,3,2,1
8.3,9.0,4.3,1.4,2.93,Moderate,Female,18.0,2.0,5.0,2,3,1,2
9.55,7.7,0.0,6.7,3.64,High,Female,27.0,2.0,2.0,4,3,2,2
7.3,7.0,4.2,4.7,2.79,Moderate,Male,32.0,1.0,5.0,2,5,3,1
3.1,6.1,0.4,9.8,2.5,Moderate,Male,30.0,2.0,2.0,1,5,2,5
7.5,8.1,2.4,2.8,3.4,Moderate,Male,26.0,2.0,1.0,1,2,3,3
8.3,5.1,2.0,7.4,3.08,High,Male,28.0,4.0,1.0,2,2,3,1
6.95,7.9,3.2,4.4,3.31,Moderate,Male,28.0,1.0,4.0,4,1,1,3
9.05,9.8,0.0,2.2,3.48,High,Female,25.0,1.0,4.0,3,1,5,3
7.5,8.2,5.4,4.4,2.92,Moderate,Female,33.0,3.0,4.0,3,3,3,2
6.65,6.8,0.6,7.6,2.78,Low,Male,24.0,3.0,4.0,2,2,2,2
8.7,6.4,1.8,7.4,3.15,Moderate,Female,22.0,3.0,3.0,2,2,2,3
3.3,8.6,1.6,4.8,3.27,Moderate,Male,34.0,5.0,5.0,2,3,2,1
7.55,5.9,4.1,6.4,3.09,High,Male,29.0,5.0,3.0,5,5,2,2
6.75,7.8,1.5,5.8,3.01,High,Male,32.0,1.0,5.0,1,2,2,5
5.4,9.0,1.8,1.5,3.5,High,Female,31.0,1.0,5.0,4,3,4,4
10.4,9.1,2.4,0.3,3.38,High,Male,28.0,4.0,5.0,5,3,4,3
9.05,8.1,2.5,6.5,2.67,Moderate,Male,30.0,2.0,5.0,4,2,2,2
4.95,9.1,2.1,2.8,3.2,High,Female,26.0,5.0,3.0,1,1,3,3
10.15,8.1,2.7,4.5,3.01,High,Male,19.0,5.0,2.0,4,3,2,1
10.35,6.1,0.5,5.2,3.37,High,Female,21.0,4.0,1.0,2,3,4,2
7.55,8.0,3.3,5.0,2.65,Low,Male,22.0,2.0,3.0,2,3,2,2
